antiguedad_cliente,ingreso_mensual,uso_app_minutos,num_reclamos,dias_desde_ultimo_login,interacciones_soporte,consumo_datos,variacion_consumo,pagos_atrasados,score_satisfaccion,plan,region,canal_adquisicion,color_app_preferido,churn
23,1597,122.95204641443804,12,26.26483217585826,25.7306564283219,10.161100036239155,105.32177713100846,4.865369518968032,4.969036178968302,premium,sur,email,negro,0
5,1173416,46.33451342801196,-1,12.541969767613631,19.55471273654633,71.6289159273107,43.180314867532104,11.182667031562106,9.490107357570402,basic,sur,tv,verde,1
24,840852,26.11731125132742,-5,3.5642524928472765,3.898365045352057,42.272760723254606,42.241841065323996,2.8431713623532504,5.895103001384038,premium,sur,email,negro,0
61,1125992,247.62315004530873,0,12.681722442809312,9.118613812016804,52.28861903915064,486.71738939677755,49.56316596509117,8.301564634369074,vip,centro,tv,negro,0
50,931225,9.476443442158196,9,26.84866500750949,8.819609506569952,146.86254506582952,241.78486729511758,14.233095878660766,13.099419393673912,basic,norte,email,negro,0
25,1019725,37.72880577359639,-6,7.121071114367273,1.8474092945370058,58.85141437464334,52.74710391260628,0.9815301379521957,11.632022752543882,basic,norte,email,azul,0
45,1028761,111.2177071986373,-10,25.871535928643937,37.22661258315834,139.37404247139028,346.5705918128995,2.1935068905696253,5.777623344721723,premium,sur,email,verde,0
24,46347,148.94843491991142,3,12.87775878320836,28.88991111446904,160.4535029274573,122.85898900370103,8.98778740070702,12.512811730003314,premium,centro,referido,azul,0
33,172106,68.2457402701193,-16,30.301591318632866,7.225170849683669,54.564299518551096,158.76677853178853,4.2228514929971706,30.374895348965623,basic,norte,tv,azul,1
41,-104258,27.035105932551502,-10,18.904288198801968,15.878135494705514,150.92109902367767,113.52973792390412,5.62733497923759,12.43876942984176,premium,sur,tv,negro,0
38,-540991,183.02892305916114,-17,12.081762572275585,27.01721531802443,34.912878957923816,145.0595418824367,9.267732251969994,14.768505352284231,premium,sur,referido,azul,0
21,772820,24.286441668929843,-7,11.970130762378146,11.249026870293832,7.309829167237359,42.06620564706934,13.924246061838307,11.611981902194138,vip,centro,email,verde,1
34,555905,150.05860190523873,1,46.86090045088129,16.474741793135237,200.97416227835058,31.06337833605525,39.48823918634502,12.22342330479285,vip,centro,email,negro,1
29,466534,7.614159475783558,10,55.87525364190408,1.6082803239200305,67.13521650488083,47.797808784635485,18.434251056485145,16.55631736778258,basic,norte,email,negro,0
-7,1665010,13.755836501626225,-2,8.26054426950648,6.183913398920476,36.320204049696386,31.411545009626423,3.8341015817853363,2.206746366468777,premium,centro,email,negro,1
22,618680,85.23355974961252,9,23.59121506812426,4.101768659634315,93.38146051050525,76.45217965884414,10.652321730110588,12.44926140550563,premium,norte,tv,azul,1
29,282661,64.44067269781966,10,27.283043915278235,11.070650427620395,65.74511667182571,209.94208783247697,2.722418663542596,35.37007840308882,basic,norte,email,azul,0
37,645027,20.412631322555548,1,9.229080402834617,1.8086604352414049,75.87307476389546,103.75718757757933,13.685754135546315,7.5876965530554585,vip,norte,instagram,negro,0
52,514237,55.69525211406835,-13,33.78589709460812,19.023568983487195,94.91073120452857,123.77168685827422,29.706818658832645,25.470319209694317,basic,sur,instagram,azul,0
50,-211237,149.2945223205673,-6,29.06911617351675,31.09675871120435,42.30695630754879,81.59594426159337,8.9183365144261,4.549165626016212,basic,centro,email,verde,0
9,667610,51.28027279863808,-3,55.504904804037416,7.354429633211198,105.37782270992902,163.26756377372703,10.705222546703219,12.22782625477329,vip,centro,instagram,verde,1
5,934641,71.0149729409863,-8,42.59422863244741,24.935698986995387,92.31076069463454,60.79212499078699,1.7533376724342409,19.84804319920117,vip,sur,referido,negro,1
18,745966,99.95346721012366,2,44.42379507612672,12.88646344311687,25.41090347310671,82.75540683313983,7.550448137283551,17.34459382493293,vip,sur,instagram,negro,0
19,328669,28.679933821854483,-3,2.68564965945331,13.221687153794788,109.77964051888964,201.80913501265968,18.93137023661649,22.13669814782211,basic,centro,referido,verde,0
20,567201,44.30824544961181,-5,24.206556077766738,11.957800388601845,150.2320564506485,88.29494906115228,19.079501369640994,15.949699761130912,vip,sur,tv,verde,0
59,1088833,13.162071632259792,4,44.44483494635988,26.627205655200612,83.57256835043968,222.64181043473107,23.05067696530919,29.07841590298636,basic,sur,email,verde,1
31,936145,28.736125905525284,3,11.639134166104942,8.342310892783344,2.2414374650352205,138.5156911587067,2.5399231381928935,3.3159846922875955,vip,sur,referido,verde,0
38,538128,28.030002950464823,-3,67.73805658682005,12.199952330701077,4.250600904958922,44.46541231602547,0.9035924841469156,12.936200679488191,basic,sur,email,negro,1
45,1417849,26.867559307116103,-14,32.52693794065241,14.912010149455668,263.7938802226327,312.4195221136345,22.481203525254525,4.552830658399756,vip,sur,tv,verde,1
24,314339,58.7441663962256,6,7.537907953819632,6.175674975006453,63.39773999843473,28.477422574440524,11.462307465588424,0.5545523397471408,vip,sur,instagram,negro,0
39,526796,120.16914726292597,3,40.95752820351108,13.202727180086331,70.21751032059322,159.69101611373014,8.681561934063717,5.7793278184186665,premium,sur,email,verde,1
18,1357094,3.882176519632841,-5,62.27869619515138,11.922914066950659,81.3636143306356,106.26712684017785,18.910597875398267,0.01568503565952395,vip,centro,referido,azul,1
1,465816,44.43088659079959,-6,0.4947041119185006,11.068811688857409,41.338339535815585,363.57541160122804,11.29177788340318,28.962331154943428,premium,centro,tv,negro,0
2,381193,132.59832756269947,31,4.219443426703498,5.793895279989347,175.92384381010746,365.04587896761393,15.052237628148326,28.279601603287254,basic,sur,tv,azul,1
14,896286,89.40239863939574,14,9.804857386489713,3.750743341826074,24.20064517976963,129.24446989868676,5.661343182881408,24.09016449186929,vip,sur,referido,azul,0
0,843607,95.49211481732898,0,43.06378328168917,23.699931927450177,6.576042407185291,134.99444890904903,1.713131535384671,3.976876684770488,basic,sur,email,negro,1
19,760189,48.27251044713329,6,25.516351545544392,9.956394666914086,8.115684823036997,27.78369217680386,3.30156612229295,5.079999178264032,basic,centro,instagram,negro,1
35,-183968,138.09072362200956,5,2.990055326950802,26.156522091151615,15.80736134061146,66.16168974087878,0.7049987664925417,8.583386158297143,vip,norte,email,verde,0
10,949333,70.48676667711081,-11,9.448790700132337,31.39951371990749,36.75214813470861,131.80007823943623,2.722520313686738,23.35784860034092,basic,sur,instagram,negro,1
28,916152,70.64960077088969,-5,9.202432257820343,1.0352431059824774,18.924478176983524,37.290331796762175,15.272205972300075,13.53877536664664,vip,sur,referido,azul,1
31,962923,65.51408062421689,-1,28.301267109581016,22.18393849150172,64.23307291030171,218.49920724447398,2.8227477380056976,8.649544714317079,basic,sur,instagram,verde,0
50,804839,19.030048894182784,-2,8.026116759313124,6.087698994077705,1.8383408212307015,237.19271784279888,15.80599458594599,9.045637918757778,vip,centro,referido,verde,0
28,444552,90.45134425922159,-2,23.91001214803476,0.18003116948359765,3.076789288428558,105.32459860249995,15.94826080248188,13.815367418882346,basic,sur,referido,negro,1
38,658955,76.27722019947885,0,5.521205688098721,9.811556593134398,128.32396978322015,161.77285518963407,1.3404759944565114,2.8961436478151503,premium,centro,tv,negro,1
43,1170303,36.100503589228104,-6,21.589125843083167,16.262204442066658,83.42493562756256,238.2469941904469,17.616086417464437,6.057644056005139,premium,sur,instagram,azul,1
18,520448,15.006333888223322,14,12.74899418611744,20.628962018010743,15.556378286175665,9.540065823238434,31.61530429488238,0.43768137262698015,basic,sur,referido,azul,1
12,1038431,85.93175329997936,-3,18.822649712720818,11.084446943073193,51.750852493499586,10.731117171458147,9.648802501491067,0.13713471251565523,vip,sur,tv,azul,0
47,167822,98.53545465559763,0,19.703424579361226,0.012978843416819874,157.54031640015077,204.8562230527114,11.951139964726728,12.413149461642908,premium,centro,instagram,negro,0
26,655121,42.33292990965036,23,41.137822949750245,4.698005897282899,24.651308625349596,47.32571416469714,14.197710150961031,19.075629419083427,basic,norte,email,azul,0
24,944477,135.19768590848253,-14,7.5938097827000455,18.647151381456656,0.6090806296649997,25.287805578961166,31.449788867847232,10.213336504374734,vip,norte,tv,azul,1
33,465681,131.98108113464744,2,29.70701486177716,11.269951140176776,150.48470003170164,22.15340337023691,38.89517394880832,9.458927136513013,basic,sur,tv,negro,1
-9,1420200,104.62781328232104,-4,22.509966555553667,21.513425840320505,95.65204944018639,6.805055599798419,7.969759982128883,14.547736099714845,basic,sur,email,azul,1
40,892687,32.859573344801746,-24,5.996911616338822,7.248283652202483,96.12297865642219,125.03988395792216,12.754184361159089,17.306732175755034,premium,sur,instagram,azul,0
54,1300020,122.72376853364194,20,19.2076354422719,43.44306910342478,72.71939391712758,499.1630700794546,2.089723950875637,10.331159086958719,premium,centro,instagram,verde,0
41,640023,28.23004927203076,-7,65.37044686677436,6.148153432834318,32.75818259454187,193.50372470152084,10.298254200197356,1.8075298647201965,basic,norte,referido,verde,0
48,-337085,123.6881739429499,3,20.907749132635058,26.393609411582535,155.97844766975297,72.7889817382713,13.878929072655325,1.6934201616751698,vip,sur,instagram,verde,0
12,308280,139.36467937867823,-1,12.247173632432016,28.964676178103783,31.794997631669787,179.10893569387042,20.00714870641067,14.208073687887278,basic,centro,tv,negro,0
42,663485,110.51703960173663,0,1.5839424827086186,4.754443410885052,5.025225047841117,265.86880958797576,26.079125700368458,12.198028844899802,vip,centro,instagram,verde,0
25,370033,118.00841231136009,0,23.669614362334258,5.968577299414111,40.817822335124276,202.04531048759446,15.239264467701494,32.49123363158301,basic,sur,tv,azul,1
14,766880,23.522116504806053,-9,5.820316100782885,4.6009881561925905,71.33607385005372,2.361668316175467,17.214519912809468,2.8222223592839013,basic,sur,referido,verde,1
61,674475,101.33351610585083,0,16.715851437258333,21.098873045412848,32.982307601645495,277.66327625465806,3.939206556453787,9.528574948991603,basic,centro,email,negro,1
