Edad,Ingreso,Gasto
39,1499,919
69,963,349
62,1453,120
52,1529,108
58,1708,528
50,974,1386
59,1568,432
67,1680,1339
42,417,470
39,1707,945
37,1726,1314
51,325,993
48,1960,1461
48,1922,1068
67,1567,414
29,1625,1269
45,1638,284
23,1804,390
38,1368,1208
32,1819,334
41,909,651
18,1108,816
54,1007,943
20,946,1449
33,288,406
56,359,179
57,1879,1012
49,1983,592
21,635,124
50,1411,476
29,1611,224
42,283,1456
21,1458,1368
64,1591,505
30,318,343
32,1190,810
44,1282,135
31,518,510
40,1899,309
31,466,259
41,1371,140
49,965,574
38,1970,757
50,1438,145
68,1935,177
34,440,184
38,1184,879
20,610,469
58,217,1449
19,1463,1388
19,1550,586
38,431,1279
35,1828,807
46,933,436
24,1719,370
38,1900,277
62,1298,349
47,687,867
61,266,1330
18,1295,377
32,257,1057
36,1217,830
65,570,545
53,1812,755
22,1718,446
69,1069,277
22,420,1430
32,1787,870
34,1875,1350
22,994,533
33,631,239
55,1364,225
69,491,1050
60,1272,1083
58,1231,1425
21,1897,839
64,1847,1426
32,353,1314
45,562,1308
62,726,1464
22,1829,976
29,1397,1303
54,354,1257
32,1798,954
63,406,677
39,1786,1313
44,1539,309
35,1487,1435
51,602,549
32,730,199
46,491,243
38,1056,298
40,1237,939
56,1785,656
32,1592,570
27,1835,994
38,825,635
61,611,1037
46,678,1040
43,491,747
67,203,154
50,1779,1154
42,1667,1458
54,1424,1169
52,305,612
24,696,931
51,628,850
40,1895,1241
53,1248,717
39,648,1148
36,531,1088
56,583,1146
59,578,818
46,1189,1274
60,1966,733
36,544,532
21,1458,511
59,1452,292
46,1564,1168
61,1410,476
25,1329,986
31,281,573
37,482,413
49,610,1214
35,1684,775
19,382,654
46,964,837
48,1587,1479
51,715,200
51,1831,302
19,1542,889
18,350,144
45,953,446
64,370,522
60,690,1380
19,1242,485
31,1209,643
69,1323,151
23,1071,630
31,349,1423
58,1582,1458
39,1914,884
59,760,1454
23,671,506
39,1601,238
27,1524,957
30,792,1454
36,1854,927
64,1126,878
61,939,1385
