Edad,Ingreso,Gasto,Frecuencia
39,1499,919,8
69,963,349,1
62,1453,120,16
52,1529,108,13
58,1708,528,7
50,974,1386,25
59,1568,432,4
67,1680,1339,22
42,417,470,21
39,1707,945,24
37,1726,1314,18
51,325,993,16
48,1960,1461,22
48,1922,1068,10
67,1567,414,26
29,1625,1269,10
45,1638,284,24
23,1804,390,5
38,1368,1208,28
32,1819,334,18
41,909,651,6
18,1108,816,28
54,1007,943,1
20,946,1449,1
33,288,406,19
56,359,179,19
57,1879,1012,8
49,1983,592,7
21,635,124,13
50,1411,476,5
29,1611,224,8
42,283,1456,9
21,1458,1368,21
64,1591,505,22
30,318,343,25
32,1190,810,23
44,1282,135,16
31,518,510,14
40,1899,309,2
31,466,259,9
41,1371,140,9
49,965,574,27
38,1970,757,24
50,1438,145,1
68,1935,177,18
34,440,184,1
38,1184,879,6
20,610,469,29
58,217,1449,24
19,1463,1388,9
19,1550,586,29
38,431,1279,2
35,1828,807,24
46,933,436,14
24,1719,370,8
38,1900,277,8
62,1298,349,29
47,687,867,24
61,266,1330,24
18,1295,377,11
32,257,1057,28
36,1217,830,24
65,570,545,23
53,1812,755,24
22,1718,446,12
69,1069,277,16
22,420,1430,29
32,1787,870,6
34,1875,1350,17
22,994,533,1
33,631,239,25
55,1364,225,8
69,491,1050,14
60,1272,1083,8
58,1231,1425,28
21,1897,839,3
64,1847,1426,16
32,353,1314,19
45,562,1308,19
62,726,1464,3
22,1829,976,21
29,1397,1303,3
54,354,1257,14
32,1798,954,16
63,406,677,1
39,1786,1313,10
44,1539,309,27
35,1487,1435,19
51,602,549,21
32,730,199,25
46,491,243,10
38,1056,298,11
40,1237,939,3
56,1785,656,19
32,1592,570,7
27,1835,994,28
38,825,635,4
61,611,1037,18
46,678,1040,2
43,491,747,23
67,203,154,3
50,1779,1154,25
42,1667,1458,16
54,1424,1169,29
52,305,612,14
24,696,931,2
51,628,850,29
40,1895,1241,8
53,1248,717,6
39,648,1148,17
36,531,1088,24
56,583,1146,25
59,578,818,28
46,1189,1274,27
60,1966,733,6
36,544,532,11
21,1458,511,22
59,1452,292,4
46,1564,1168,1
61,1410,476,9
25,1329,986,22
31,281,573,17
37,482,413,5
49,610,1214,27
35,1684,775,28
19,382,654,26
46,964,837,27
48,1587,1479,20
51,715,200,4
51,1831,302,16
19,1542,889,18
18,350,144,26
45,953,446,28
64,370,522,7
60,690,1380,24
19,1242,485,6
31,1209,643,29
69,1323,151,27
23,1071,630,25
31,349,1423,14
58,1582,1458,25
39,1914,884,20
59,760,1454,3
23,671,506,7
39,1601,238,22
27,1524,957,27
30,792,1454,23
36,1854,927,28
64,1126,878,23
61,939,1385,29
