CustomerID,Age,CreditScore,Tenure,Balance,NumOfProducts,EstimatedSalary,TotalAssets
USR-10000,32.0,460,3,12212.30995857474,3,94771.55570426758,11874.661201755269
USR-10001,51.0,658,5,87044.87055225932,2,51001.99471343291,92212.6490404279
USR-10002,84.0,438,3,68932.33925007246,1,38601.608332851145,71383.1610217499
USR-10003,52.0,465,6,58280.95758065802,1,134722.78697969217,59769.313476069256
USR-10004,55.0,606,2,19104.275353204634,1,143830.1566495183,20695.56509466642
USR-10005,,403,2,,1,84781.18188315326,
USR-10006,29.0,324,6,48289.39178188749,1,131975.93904396408,49830.816923436585
USR-10007,57.0,454,2,37727.24851182073,1,101609.99754510216,38809.9991675954
USR-10008,24.0,733,7,43451.322786486635,1,130618.69191307043,45667.894980007724
USR-10009,85.0,650,0,,2,44736.24151757645,
USR-10010,35.0,715,7,443.88221209539915,1,71934.08959682012,-1117.4089879981213
USR-10011,34.0,700,3,89319.48940069607,1,59797.289233939664,93800.98636575151
USR-10012,66.0,620,5,69023.95999495988,1,63210.618285276876,73832.23331826943
USR-10013,85.0,667,7,54969.89876309739,2,74299.71891848769,57008.15860071257
USR-10014,33.0,597,7,,2,69911.77485497789,
USR-10015,75.0,777,1,48242.76612152322,2,106204.57078989586,50281.31126743062
USR-10016,37.0,627,1,,2,70385.37051596565,
USR-10017,53.0,318,0,55272.04600650064,2,85373.37208817543,57215.29441606862
USR-10018,37.0,741,9,51801.46324671135,1,112101.04606162447,54662.97666987592
USR-10019,47.0,720,9,43110.901910413566,2,129669.63261278854,44431.97070715825
USR-10020,32.0,721,7,17321.440740055663,1,136807.16311368835,18383.670301341754
USR-10021,48.0,406,9,24516.91336716369,2,101556.50063997743,25029.32412312663
USR-10022,21.0,787,5,59515.98659710317,2,20579.192842645807,62501.246069080764
USR-10023,67.0,773,1,25903.677917879166,2,40249.16164533173,27237.55507518694
USR-10024,24.0,618,9,38630.027412075855,2,130406.74424582871,39484.13637069234
USR-10025,34.0,319,8,38952.74374473534,1,143014.34660303767,40429.9853330077
USR-10026,,641,4,30188.17803008773,2,96770.87639354626,29579.651630704888
USR-10027,39.0,692,4,77107.04696748506,1,93399.7149036259,80723.85058622176
USR-10028,32.0,715,5,30358.675267468632,2,90348.41862367479,31829.914763884146
USR-10029,24.0,516,9,42689.33707243246,2,114883.12543992329,44979.99444135274
USR-10030,,667,2,32993.334025575205,3,93954.8399124944,36611.311515703186
USR-10031,53.0,770,3,45109.12840936237,1,35544.84300613051,49466.49876762567
USR-10032,22.0,443,7,,3,,
USR-10033,31.0,526,1,49115.73203610035,2,,52773.851610464
USR-10034,85.0,467,5,64059.57449178972,2,91024.63062641436,65450.77904002187
USR-10035,21.0,546,6,20834.2362016988,1,60761.25101537924,21341.959809411906
USR-10036,37.0,675,0,,1,31510.32285946694,
USR-10037,57.0,423,1,43210.99326003493,1,54382.65593938591,44546.08666709427
USR-10038,25.0,412,0,37501.1841103035,2,66280.88549085577,39413.48739359319
USR-10039,33.0,367,2,52722.08771551602,1,75199.79895387188,55442.88820521137
USR-10040,25.0,324,1,45638.90038909523,1,53048.62852111449,47903.444861806885
USR-10041,32.0,813,3,41919.7976383907,2,85764.178157352,44378.83223730807
USR-10042,41.0,373,6,63194.90281762913,1,72123.77358665524,65329.465251176654
USR-10043,29.0,679,3,55599.512181208804,1,62905.56502555685,58091.45830850995
USR-10044,43.0,724,9,52834.50771203766,1,66842.58408865545,57323.84292284524
USR-10045,73.0,550,9,50167.372475483484,2,74182.15674159635,52089.327865542735
USR-10046,40.0,741,9,35414.75144541087,2,132550.75883219525,38391.711104296366
USR-10047,30.0,346,3,71344.54934459916,2,132444.32961196848,74842.1137713253
USR-10048,24.0,664,2,56518.49265860084,1,139489.896567771,59382.930420765
USR-10049,42.0,515,9,31528.777254309833,1,99266.09486662506,31868.92388935184
USR-10050,,532,6,53351.74287163792,2,139420.10601218895,55904.85981118189
USR-10051,83.0,467,1,,2,58200.82819870322,
USR-10052,33.0,834,2,43109.48694904692,1,110887.58494078653,45269.69805399192
USR-10053,,579,8,22575.228389181262,3,87151.11975527715,23814.89599633978
USR-10054,,801,7,60231.6021131623,3,62753.80641161146,63382.91418659656
USR-10055,83.0,574,1,32486.218464469803,2,82243.31177874253,33775.441541488
USR-10056,26.0,467,5,65218.98109483927,2,119813.39245089491,67889.07455388406
USR-10057,31.0,454,1,68371.66142651631,2,20483.20235018618,72655.32416972563
USR-10058,36.0,390,9,51688.16384459587,2,80633.43113397938,54841.8050386979
USR-10059,,517,5,42010.079087513725,1,111785.21768533993,42873.09426500569
USR-10060,60.0,526,3,67724.91662977461,1,56975.47584995725,68729.10068935825
USR-10061,41.0,670,7,75194.52757749349,1,,78846.61514673993
USR-10062,28.0,745,8,83665.02787455638,3,137726.83012665412,86269.51435227192
USR-10063,61.0,519,8,61520.31253201884,1,125490.93723266528,65498.31972658193
USR-10064,60.0,660,3,16860.06018202399,2,139279.1335556872,16758.095992167277
USR-10065,40.0,338,1,78743.79739835428,2,120184.54769293145,81759.29810867038
USR-10066,33.0,373,5,26428.456810711,1,135045.311911105,28198.59258965047
USR-10067,28.0,815,0,39511.48040506473,1,90437.41657965472,41776.86335104567
USR-10068,41.0,820,9,,1,80865.9973587467,
USR-10069,30.0,525,4,52961.86251384752,2,119270.43309002562,56442.1772804701
USR-10070,53.0,405,6,60381.015736849324,2,,62837.03750278678
USR-10071,36.0,694,4,68846.99198809624,1,34502.3420148741,74632.28307931742
USR-10072,33.0,572,0,61757.15782787815,2,25265.23971111557,67137.88817142247
USR-10073,26.0,526,0,73716.28253333214,2,70785.15479180528,77116.0488153981
USR-10074,46.0,758,8,65681.52518761455,1,107914.18426297334,69574.21182336069
USR-10075,46.0,417,6,94418.93620069888,2,,99043.2046628712
USR-10076,32.0,795,8,76803.13441423466,1,93611.51412611107,80550.17493110428
USR-10077,,779,4,72683.9215632792,1,112747.88628319689,75500.32308588349
USR-10078,48.0,643,6,102303.75785803377,2,61992.165947622765,107634.37422453698
USR-10079,25.0,466,0,33318.256129899724,1,62433.03007257851,34730.46129326158
USR-10080,27.0,576,9,44493.66811227715,1,144346.03568524565,45915.90430777887
USR-10081,30.0,757,6,74069.82711560187,1,94707.35755843634,78482.77468397994
USR-10082,34.0,562,7,56086.2470903896,1,99352.70962426535,58834.84320819246
USR-10083,,417,7,36017.6358263238,1,133199.90544195997,36523.22719077715
USR-10084,,632,4,93186.52206761137,3,93197.86458405184,98443.72487331381
USR-10085,50.0,333,8,44570.93119247036,4,40304.50656097378,45613.31360301084
USR-10086,40.0,369,7,20343.58916230676,1,88305.78032763975,21128.570497637535
USR-10087,62.0,804,6,76013.41453384637,3,56412.96311970138,79168.34471824733
USR-10088,18.0,345,5,53832.30742383114,1,,56337.97530947046
USR-10089,31.0,560,7,58860.84580087727,1,45568.681433661484,63907.593597091116
USR-10090,27.0,755,3,41684.193472345505,1,110206.54803697414,43014.09926861005
USR-10091,34.0,521,6,64167.92985265049,1,99787.96478492155,67717.86718875963
