ID,Age,Income,Experience_Years,Education_Level,City,Work_Hours_Per_Week,Remote_Work,Productivity_Score
1,56,1226.46,12,PhD,Valparaíso,43,no,423.0
2,69,791.92,37,Bachelor,Valparaíso,26,yes,231.16
3,46,1007.04,7,phd,Concepcion,38,Yes,332.17
4,32,1052.47,19,Bachelor,Concepción,41,no,282.51
5,60,675.79,32,Bachelors,,54,Yes,197.29
6,25,,25,Master,Santiago,49,Yes,286.86
7,38,964.68,38,Bachelors,Concepcion,48,no,297.07
8,56,572.71,20,phd,Santiago,41,no,180.93
9,36,1210.52,8,,Valparaíso,30,no,344.99
10,40,790.3,23,High School,Concepcion,39,no,192.86
11,28,4108.8,36,phd,Concepcion,100,no,298.9
12,28,563.16,16,PhD,santiago,53,Yes,152.01
13,41,605.14,23,Bachelors,Valparaíso,20,No,197.71
14,53,250.87,20,Bachelors,Valparaíso,50,No,96.32
15,57,813.79,38,bachelor,Concepción,49,no,262.6
16,41,,38,Bachelor,Concepcion,37,Yes,418.27
17,20,,12,PhD,,36,No,197.2
18,39,1544.05,10,,Concepcion,57,No,472.23
19,19,1153.56,18,,,33,No,354.43
20,41,,10,Bachelors,Concepción,100,Yes,206.35
21,61,806.82,12,PhD,santiago,44,no,289.71
22,47,766.22,0,phd,Concepcion,34,no,201.16
23,55,1226.54,39,phd,Valparaíso,41,no,391.72
24,19,929.25,18,Bachelor,Valparaíso,22,yes,267.52
25,38,1095.49,11,bachelor,Concepcion,38,yes,268.46
26,50,889.54,7,Bachelors,Concepcion,53,yes,200.88
27,29,772.01,7,bachelor,Concepcion,54,Yes,193.86
28,39,881.61,11,phd,Valparaiso,20,No,246.23
29,61,698.26,32,phd,Valparaíso,40,No,282.67
30,42,436.95,25,Master,Concepción,48,Yes,154.94
31,66,1003.42,38,High School,Valparaíso,25,Yes,338.68
32,44,424.71,27,Bachelor,Valparaiso,56,no,110.6
33,59,,4,Master,Concepcion,20,no,219.68
34,45,690.03,7,High School,santiago,20,yes,275.69
35,33,960.84,24,Master,Concepcion,46,yes,254.62
36,32,1191.18,26,Master,Concepcion,40,Yes,376.04
37,64,1101.24,22,Bachelor,Valparaiso,35,yes,382.71
38,68,968.11,29,Bachelor,Valparaíso,59,No,322.11
39,61,642.53,22,PhD,Concepcion,45,Yes,248.81
40,69,754.13,19,bachelor,Valparaíso,35,Yes,235.12
41,20,717.68,17,,Santiago,47,No,232.51
42,54,682.43,17,PhD,Concepción,20,no,212.52
43,68,699.39,1,PhD,Valparaíso,55,no,215.32
44,24,692.72,3,phd,santiago,29,No,176.06
45,38,681.64,29,High School,Concepción,36,No,235.56
46,26,,32,Master,santiago,42,yes,327.82
47,56,536.34,35,PhD,Concepcion,26,Yes,175.08
48,35,617.63,17,Bachelors,Concepción,26,yes,240.98
49,21,404.15,36,bachelor,Valparaíso,34,No,124.48
50,42,,18,PhD,Concepción,53,yes,380.8
51,31,600.87,27,Bachelors,Concepcion,23,No,228.38
52,67,965.19,39,Bachelors,Valparaiso,33,yes,328.12
53,26,918.83,19,Bachelors,santiago,33,yes,249.6
54,43,1129.71,32,phd,Concepcion,35,no,358.69
55,19,747.5,11,phd,,26,No,283.3
56,37,563.12,14,Bachelors,Concepción,51,yes,111.18
57,45,411.06,38,High School,Concepción,38,Yes,129.09
58,64,103.84,1,phd,Concepcion,21,yes,62.32
59,24,840.34,28,Master,Valparaíso,29,yes,256.84
60,61,993.87,9,Bachelors,Concepción,36,Yes,319.76
61,25,917.92,1,Master,Valparaíso,56,No,306.95
62,64,417.56,10,Master,Valparaíso,31,no,131.03
63,52,1059.71,12,Bachelors,Valparaíso,25,no,334.18
64,31,625.45,9,,Santiago,41,no,186.69
65,34,573.27,13,High School,Valparaiso,51,Yes,177.22
66,53,619.84,17,Bachelors,Valparaiso,39,yes,249.73
67,67,,8,Bachelors,Concepción,20,No,243.96
68,57,428.82,38,phd,Concepción,25,yes,132.05
69,21,790.74,27,Bachelors,Valparaíso,38,no,274.37
70,19,,2,bachelor,Santiago,37,yes,240.52
71,23,1076.83,19,phd,Valparaíso,25,Yes,309.11
72,59,843.99,5,Bachelor,Santiago,52,Yes,227.05
73,21,465.09,26,,,42,No,136.45
74,46,837.22,1,,santiago,42,No,236.9
75,35,534.94,28,,santiago,45,no,186.45
76,43,520.51,37,,Concepcion,32,No,157.98
77,61,459.32,2,bachelor,Valparaíso,26,yes,155.78
78,51,,15,PhD,Concepción,34,Yes,123.28
79,27,,29,,Valparaiso,46,Yes,183.16
80,53,1082.22,39,Bachelor,Concepcion,45,Yes,360.45
81,31,6820.599999999999,1,Master,Concepción,100,No,427.34
82,48,656.6,16,Bachelor,santiago,34,Yes,145.35
83,65,1071.53,11,bachelor,Valparaíso,55,Yes,324.76
84,32,701.35,34,bachelor,Concepcion,46,Yes,203.01
85,25,387.32,0,,Valparaíso,24,no,150.49
86,31,975.24,14,PhD,santiago,21,no,279.87
87,40,858.7,25,phd,Concepcion,52,No,219.53
88,57,1254.5,36,High School,,35,Yes,386.46
89,38,416.33,20,bachelor,,42,No,99.59
90,33,1499.01,30,Master,santiago,57,Yes,478.79
91,62,1197.93,24,Bachelor,,35,Yes,340.12
92,35,795.52,22,,Valparaiso,33,Yes,242.53
93,64,725.34,23,PhD,,48,No,265.88
94,41,621.05,37,Bachelors,Concepción,45,No,228.77
95,43,827.43,27,Master,Valparaiso,54,Yes,265.26
96,42,754.02,20,PhD,,34,yes,225.58
97,62,928.45,17,Bachelors,Concepcion,22,No,294.12
98,58,726.41,35,,Concepcion,42,no,247.69
99,46,1153.74,34,Master,Valparaiso,48,No,323.92
100,32,831.26,8,Bachelor,Concepcion,53,Yes,268.32
101,62,735.8,37,High School,santiago,52,yes,195.79
102,18,1056.07,29,Master,Valparaiso,42,Yes,340.09
103,42,,33,phd,Valparaíso,26,no,96.4
104,24,,31,PhD,santiago,22,No,335.56
105,26,806.39,2,bachelor,santiago,51,No,255.62
106,41,,2,Bachelor,santiago,50,Yes,78.51
107,18,372.87,27,High School,Valparaíso,37,Yes,117.93
108,61,1052.59,14,High School,Santiago,26,no,301.93
109,25,,22,Bachelors,Concepción,20,yes,300.02
110,41,,39,PhD,Concepcion,33,no,270.26
111,28,1229.16,10,bachelor,Valparaiso,51,yes,335.71
112,68,910.24,31,Master,Santiago,25,No,306.42
113,34,1112.45,35,bachelor,Valparaiso,58,yes,360.77
114,25,905.08,32,PhD,Concepcion,29,yes,292.27
115,52,731.05,23,PhD,Valparaíso,26,No,225.03
116,52,535.62,38,phd,santiago,45,No,190.48
117,50,649.14,33,phd,santiago,53,No,224.38
118,22,735.72,27,bachelor,,49,no,238.06
119,59,1140.79,36,Master,Santiago,55,No,309.88
120,56,992.48,6,bachelor,Santiago,40,Yes,269.09
121,58,882.58,3,PhD,Valparaiso,36,No,251.03
122,45,5087.5,36,,Valparaíso,100,No,268.58
123,24,931.85,0,,Santiago,29,No,280.48
124,26,,0,phd,Valparaíso,31,yes,295.77
125,25,425.34,19,Bachelors,Concepcion,35,no,167.65
126,29,1084.79,18,Bachelor,santiago,51,No,346.43
127,51,685.37,28,PhD,,34,no,234.64
128,50,1072.14,9,Bachelors,santiago,46,Yes,383.4
129,65,,17,bachelor,,47,Yes,353.31
